CITY,STATE
Adair Village,Oregon
Albany,Oregon
Amity,Oregon
Antelope,Oregon
Aumsville,Oregon
Aurora,Oregon
Baker City,Oregon
Beaver,Oregon
Brooks,Oregon
Brownsville,Oregon
Canyon City,Oregon
Cloverdale,Oregon
Corvallis,Oregon
Culver,Oregon
Dallas,Oregon
Dayton,Oregon
Dayville,Oregon
Depoe Bay,Oregon
Detroit,Oregon
Detroit Lake,Oregon
Donald,Oregon
Falls City,Oregon
Fossil,Oregon
Four Corners,Oregon
Gates,Oregon
Gervais,Oregon
Grand Ronde,Oregon
Granite,Oregon
Green PeterLake,Oregon
Greenhorn,Oregon
Haines,Oregon
Halfway,Oregon
Halsey,Oregon
Hebo,Oregon
Hubbard,Oregon
Huntington,Oregon
Idanha,Oregon
Independence,Oregon
Jefferson,Oregon
John Day Fossil Beds NM,Oregon
John Day,Oregon
Keizer,Oregon
Labish Village,Oregon
Lafayette,Oregon
Lake Billy Chinook,Oregon
Lebanon,Oregon
Lincoln Beach,Oregon
Lincoln City,Oregon
Long Creek,Oregon
Lyons,Oregon
Madras,Oregon
Marion,Oregon
McDowell Creek Co. Park,Oregon
McMinnville,Oregon
Mehama,Oregon
Metolius,Oregon
Mill City,Oregon
Millersburg,Oregon
Mitchell,Oregon
Molalla,Oregon
Monmouth,Oregon
Monument,Oregon
Mt. Angel,Oregon
Mt. Vernon,Oregon
Neskowin,Oregon
Newport,Oregon
Ontario,Oregon
Otter Rock,Oregon
Pacific City,Oregon
Painted Hills SP,Oregon
Phillips Reservoir,Oregon
Philomath,Oregon
Pine Grove,Oregon
Prairie City,Oregon
Prineville,Oregon
Redmond,Oregon
Richland,Oregon
Rickreall,Oregon
Rose Lodge,Oregon
S. Lebanon,Oregon
Salem,Oregon
Scio,Oregon
Scots Mills,Oregon
Seneca,Oregon
Shaniko,Oregon
Sheridan,Oregon
Siletz,Oregon
Silver Falls SP,Oregon
Silverton,Oregon
Sisters,Oregon
Sodaville,Oregon
Spray,Oregon
Stayton,Oregon
St. Paul,Oregon
Sublimity,Oregon
Sumpter,Oregon
Sweet Home,Oregon
Tangent,Oregon
Terrebonne,Oregon
The Cove Palisades SP,Oregon
Toledo,Oregon
Turner,Oregon
Unity,Oregon
Vale,Oregon
Waldport,Oregon
Warm Springs,Oregon
Waterloo,Oregon
Willamina,Oregon
Woodburn,Oregon
Yaquina Bay,Oregon
Ammon,Idaho
Arco,Idaho
Ashton,Idaho
Atomic City,Idaho
Butte City,Idaho
Cambridge,Idaho
Cascade,Idaho
Cascade Reservoir,Idaho
Challis,Idaho
Clayton,Idaho
Council,Idaho
Crane Creek Reservoir,Idaho
Crouch,Idaho
Deadwood Reservoir,Idaho
Donnelly,Idaho
Driggs,Idaho
Drummond,Idaho
Dubois,Idaho
Emmett,Idaho
Fruitland,Idaho
Hamer,Idaho
Horseshoe Bend,Idaho
Idaho City,Idaho
Idaho Falls,Idaho
Iona,Idaho
Irwin,Idaho
Jefferson Reservoir,Idaho
Ketchum,Idaho
Lewisville,Idaho
Lost River,Idaho
Mackay,Idaho
